Authors,Title,year,Abstract,Keywords
"Nguyen TT,Abdelrazek M,Nguyen DT,Aryal S,Nguyen DT,Reddy S,Nguyen QV,Khatami A,Nguyen TT,Hsu EB,Yang S",Origin of novel coronavirus causing COVID-19: A computational biology study using artificial intelligence,2022,"Origin of the COVID-19 virus (SARS-CoV-2) has been intensely debated in the scientific community since the first infected cases were detected in December 2019. The disease has caused a global pandemic, leading to deaths of thousands of people across the world and thus finding origin of this novel coronavirus is important in responding and controlling the pandemic. Recent research results suggest that bats or pangolins might be the hosts for SARS-CoV-2 based on comparative studies using its genomic sequences. This paper investigates the SARS-CoV-2 origin by using artificial intelligence (AI)-based unsupervised learning algorithms and raw genomic sequences of the virus. More than 300 genome sequences of COVID-19 infected cases collected from different countries are explored and analysed using unsupervised clustering methods. The results obtained from various AI-enabled experiments using clustering algorithms demonstrate that all examined SARS-CoV-2 genomes belong to a cluster that also contains bat and pangolin coronavirus genomes. This provides evidence strongly supporting scientific hypotheses that bats and pangolins are probable hosts for SARS-CoV-2. At the whole genome analysis level, our findings also indicate that bats are more likely the hosts for the COVID-19 virus than pangolins.","Artificial intelligence, AI, Machine learning, COVID-19, SARS-coV-2, Origin, Bat, Pangolin, Pandemic"
"Nodehi AK,Charkari NM",A metaheuristic with a neural surrogate function for Word Sense Disambiguation,2022,"Word Sense Disambiguation (WSD) is one of the earliest problems in natural language processing which aims to determine the correct sense of words in context. The semantic information provided by WSD systems is highly beneficial to many tasks such as machine translation, information extraction, and semantic parsing. In this work, a new approach for WSD is proposed which uses a neural network as a surrogate fitness function in a metaheuristic algorithm. Also, a new method for simultaneous training of word and sense embeddings is proposed in this work. Accordingly, the node2vec algorithm is employed on the WordNet graph to generate sequences containing both words and senses. These sequences are then used along with paragraphs from Wikipedia in the word2vec algorithm to generate embeddings for words and senses at the same time. In order to address data imbalance in this task, sense probability distribution data extracted from the training corpus is used in the search process of the proposed simulated annealing algorithm. Furthermore, we introduce a new approach for clustering and mapping senses in the WordNet graph, which considerably improves the accuracy of the proposed method. In this approach, nodes in the WordNet graph are clustered on the condition that no two senses of the same word be present in one cluster. Then, repeatedly, all nodes in each cluster are mapped to a randomly selected node from that cluster, meaning that the representative node can take advantage of the training instances of all the other nodes in the cluster. Training the proposed method in this work is done using the SemCor dataset and the SemEval-2015 dataset has been used as the validation set. The final evaluation of the system is performed on SensEval-2, SensEval-3, SemEval-2007, SemEval-2013, SemEval-2015, and the concatenation of all five mentioned datasets. The performance of the system is also evaluated on the four content word categories, namely, nouns, verbs, adjectives, and adverbs. Experimental results show that the proposed method achieves accuracies in the range of 74.8 to 84.6 percent in the ten aforementioned evaluation categories which are close to and in some cases better than the state of the art in this task.","Word Sense Disambiguation, Metaheuristics, Surrogate Functions, Sense Mapping"
"Tautenhain CP,Nascimento MC",SpecRp: A spectral-based community embedding algorithm,2022,"Community embeddings are useful in node classification since they allow nodes to aggregate relevant information regarding the network structure. Modularity maximization-based algorithms are the most common approach to detect communities in networks. Moreover, spectral theory plays an important role in community detection by providing a matrix representation of the network structure. However, the literature is still scarce on spectral and modularity maximization-based community embedding methods. Besides, the node features of attributed graphs are usually not considered for producing the community embeddings. This paper introduces a community embedding algorithm based on spectral theory, called SpecRp, that has an overlapping modularity maximization-based step also herein proposed. SpecRp is a community detection method that considers node attributes and vertex proximity to obtain community embeddings. Computational experiments showed that SpecRp outperformed the literature in most of the tested benchmark datasets for the node classification task. Moreover, we observed that to detect disjoint communities, SpecRp and the reference literature algorithms presented a conflicting behavior concerning performance measures. While the reference methods achieved better results for modularity, SpecRp performed better concerning the Normalized Mutual Information to the ground-truth partitions. On detecting overlapping communities, SpecRp was considerably faster than the state-of-the-art algorithms, despite presenting worse results in most of the datasets.","Community embedding, Community detection in networks, Network embedding, Spectral algorithms, Autoencoders"
"Ringer C,Nicolaou MA,Walker JA",Autohighlight: Highlight detection in League of Legends esports broadcasts via crowd-sourced data,2022,"Every minute, 500 h of footage is uploaded to Youtube.com, and ∼1900 h of footage is livestreamed on Twitch.tv. It can therefore be challenging for viewers to find the content they are most likely to enjoy. Highlight videos can entertain users who did not watch a broadcast, e.g. due to a lack of awareness, availability, or willingness. Furthermore, livestream content creators can grow their audiences by using highlights as advertisement, while also engaging casual followers who do not watch full broadcasts. However, hand-generating these videos is laborious, thus automatic highlight detection is an active research challenge. We examine automatic highlight detection by focusing on esports broadcasts. Esports are an emerging genre of sport played using a video games. We focus on League of Legends, a popular title with multiple professional leagues. Esports broadcasts are high-quality and professionally produced, mirroring traditional sports. We tackle the problem in a weakly supervised manner, utilising two datasets, one of ‘crowd-sourced’ highlight videos and one of unedited broadcasts. These datasets allow us to leverage massive data while hugely reducing the human cost of data curation and annotation. We propose two novel extensions to state-of-the-art rank-based highlight detection architectures. Firstly, a multimodal hybrid–fusion architecture that enables audio-visual highlight detection, and secondly, a smoothing step to incorporate context into decision making. Both extensions show significant improvement over state-of-the-art ranking models, in places performing nearly twice as well as competing architectures. Additionally, we examine the effectiveness of each modality and compare ranking models with classification based systems.","Highlight detection, Neural networks, Livestreaming, Deep learning, Ranking networks, Weakly supervised learning"
"Helder VG,Filomena TP,Ferreira L,Kirch G",Application of the VNS heuristic for feature selection in credit scoring problems,2022,"Credit scoring plays a major role for financial institutions when making credit-granting decisions. In this context, machine learning techniques have been used to develop credit scoring models, as they seek to recognize existing patterns in databases containing the credit history of borrowers to infer potential defaulters. However, these databases often contain a large number of variables, some of which can be noisy, leading to imprecise results and loss of performance/accuracy. In the present work, a feature selection technique is proposed based on a variable neighborhood concept, so-called VNS. The applicability of the method is assessed in conjunction with seven of the main techniques used to make default prediction in credit analysis problems. Its performance was compared to the feature selection obtained by the well-known PCA statistical method. The results indicate superior performance of the VNS in most of the applied tests, suggesting the robustness of the method.","Credit scoring, Machine learning, Feature selection"
"Evin M,Hidalgo-Munoz A,Béquet AJ,Moreau F,Tattegrain H,Berthelon C,Fort A,Jallais C",Personality trait prediction by machine learning using physiological data and driving behavior,2022,"This article explores the influence of personality on physiological data while driving in reaction to near crashes and risky situations using Machine Learning (ML). The objective is to improve the driving assistance systems in considering drivers’ characteristics. Methods: Physiological and behavioral data were recorded in sixty-three healthy volunteers during risky urban situations and analyzed using 5 ML algorithms to discriminate the driver’s personality according to Big Five Inventory and STAI trait. Seven step process was performed including data pre-processing, Electrodermal Activity (EDA) time windows selection (one by one backward and forward approach comparison with a pseudo-wrapped), personality traits assessment, input algorithms parameters optimization, algorithm comparison and personality trait cluster prediction. ROC Area Under the Curve (AUC) was used to describe improvement. Results/discussion: The pseudo-wrapped/all possibilities method comparison resulted in 8.3% on average for all personality traits and all algorithms (% of ROC AUC of backward and forward approach). The ROC AUC for the detection of the personality ranged between 0.968 to 0.974 with better detection of Openness, Agreeability and Neuroticism. Use of association between Neuroticism, Extraversion and Conscientiousness previously defined in the literature slightly improve personality detection (maximum ROC AUC of 0.961 to 0.993 for cluster). Results are discussed in terms of contribution to driving aids. Conclusion: This study is one of the first to use machine learning techniques to detect personality traits using behavioral and physiological measures in a driving context. Additionally, it questions input parameters optimization approach, time windows selection, as well as clustering and association of personality trait for detection improvement.","Driver physiological data, Personality traits, Machine learning, Anxiety, Electrodermal activity"
"Wen Y,Rahman MF,Zhuang Y,Pokojovy M,Xu H,McCaffrey P,Vo A,Walser E,Moen S,Tseng TL",Time-to-event modeling for hospital length of stay prediction for COVID-19 patients,2022,"Providing timely patient care while maintaining optimal resource utilization is one of the central operational challenges hospitals have been facing throughout the pandemic. Hospital length of stay (LOS) is an important indicator of hospital efficiency, quality of patient care, and operational resilience. Numerous researchers have developed regression or classification models to predict LOS. However, conventional models suffer from the lack of capability to make use of typically censored clinical data. We propose to use time-to-event modeling techniques, also known as survival analysis, to predict the LOS for patients based on individualized information collected from multiple sources. The performance of six proposed survival models is evaluated and compared based on clinical data from COVID-19 patients.","Length of stay, Survival analysis, Time-to-event modeling, Deep learning, COVID-19"
"Basher SA,Sadorsky P","Forecasting Bitcoin price direction with random forests: How important are interest rates, inflation, and market volatility?",2022,"Bitcoin has grown in popularity and has now attracted the attention of individual and institutional investors. Accurate Bitcoin price direction forecasts are important for determining the trend in Bitcoin prices and asset allocation. This paper addresses several unanswered questions. How important are business cycle variables like interest rates, inflation, and market volatility for forecasting Bitcoin prices? Does the importance of these variables change across time? Are the most important macroeconomic variables for forecasting Bitcoin prices the same as those for gold prices? To answer these questions, we utilize tree-based machine learning classifiers, along with traditional logit econometric models. The analysis reveals several important findings. First, random forests predict Bitcoin and gold price directions with a higher degree of accuracy than logit models. Prediction accuracy for bagging and random forests is between 75% and 80% for a five-day prediction. For 10-day to 20-day forecasts bagging and random forests record accuracies greater than 85%. Second, technical indicators are the most important features for predicting Bitcoin and gold price direction, suggesting some degree of market inefficiency. Third, oil price volatility is important for predicting Bitcoin and gold prices indicating that Bitcoin is a substitute for gold in diversifying this type of volatility. By comparison, gold prices are more influenced by inflation than Bitcoin prices, indicating that gold can be used as a hedge or diversification asset against inflation.","Forecasting, Machine learning, Random forests, Bitcoin, Gold, Inflation"
"Roegiers S,Corneillie E,Lievens F,Anseel F,Veelaert P,Philips W",Distinctive features of nonverbal behavior and mimicry in application interviews through data analysis and machine learning,2022,"This paper reveals the characteristics and effects of nonverbal behavior and human mimicry in the context of application interviews. It discloses a novel analyzation method for psychological research by utilizing machine learning. In comparison to traditional manual data analysis, machine learning proves to be able to analyze the data more deeply and to discover connections in the data invisible to the human eye. The paper describes an experiment to measure and analyze the reactions of evaluators to job applicants who adopt specific behaviors: mimicry, suppress, immediacy and natural behavior. First, evaluation of the applicant qualifications by the interviewer reveals how behavioral self-management can improve the interviewer’s opinion of the candidate. Secondly, the underlying mechanics of mimicry behavior are exposed through analysis of seven nonverbal actions. Manual data analysis determines the frequency features of the actions and answers how often the actions are performed and how often they are mimicked during application interviews. Two of the seven actions are here deemed negligible due too low frequency features. Finally, machine learning is employed to analyze the data in great detail and distinguish the four behavior categories from each other. A Random Forest classifier is able to achieve 55.2% accuracy for predicting the behavior condition of the interviews while human observers reach an accuracy of 32.9%. The feature set for the classifier is reduced to 130 features with the most important features relating to the correlations between the leaning forward actions of the interview participants.","Mimicry, Nonverbal behavior, Data analysis, Machine-learning, Classification experiment, Feature selection"
"Hossain MM,Swarna RA,Mostafiz R,Shaha P,Pinky LY,Rahman MM,Rahman W,Hossain MS,Hossain ME,Iqbal MS",Analysis of the performance of feature optimization techniques for the diagnosis of machine learning-based chronic kidney disease,2022,"Chronic kidney disease (CKD) slowly decreases one’s kidney ability. A machine learning (ML) based early CKD diagnosis scheme can be an effective solution to reduce this harm. The efficiency of ML techniques depends on the selection and use of the appropriate features. Hence, this research analysis several feature optimization approaches along with a max voting ensemble model to establish a highly accurate CKD diagnosis system by using an appropriate feature set. The ensemble model of this research is structured with five existing classifiers. Three types of feature optimization namely feature importance, feature reduction, and feature selection where for each approach two most proficient techniques are analyzed with the mentioned ensemble model. Based on all analysis the research gets a feature optimization technique called Linear discriminant analysis belonging to the feature selection approach provides the most outstanding result of 99.5% accuracy by using 10-fold cross-validation. The results of this research indicate the efficiency of feature optimization for the diagnosis of ML-based CKD.","Chronic kidney disease (CKD), Feature optimization, Feature selection, Machine learning (ML), Feature reduction, Feature importance"
