Topic Id,Terms,Timeline,Number of Articles,Article %,Trend Score,Silhouette Score,Bias Avg Std Year
1,"result, network, using, paper, object, show, propose, feature, approach, problem, algorithm, proposed, learning, in, data, the, model, method, we, image",2010.0-2022.0,3839,85.15971606033717,-0.002158690618974064,-0.0075600636,3.502152440334223
2,"in, multiple, these, map, concentrations, network, distribution, data, quantify, method, decomposition, decoder, model, image, particle, the, different, we, spio, concentration",2021.0-2022.0,3,0.06654835847382432,1.3549210808600298,0.6387159,0.4714045207910317
3,"approach, widely, hurt, result, applying, points, stateoftheart, propose, recently, proposed, ape, singular, named, following, strategy, bpf, algorithm, graph, matching, path",2018.0,2,0.044365572315882874,inf,1.0,0.0
4,"computational, rolling, sensors, leverage, sensorprocessors, limit, image, implement, neural, shutter, scene, rely, optimize, optically, hdr, highspeed, exposure, approach, function, sensor",2020.0,2,0.044365572315882874,inf,1.0,0.0
5,"containing, identification, recognition, one, classification, viewed, stage, map, in, corresponding, used, reference, input, distorted, problem, applications, field, database, distortion, fingerprint",2015.0,2,0.044365572315882874,inf,0.99999946,0.0
6,"weak, regions, captions, model, loss, in, train, cnet, learn, natural, dataset, attention, two, method, category, supervision, saliency, snet, network, image",2022.0,2,0.044365572315882874,inf,0.9999996,0.0
7,"dataset, slice, common, network, false, proposed, 3d, stage, module, feature, the, lung, cnnbased, ct, pn9, sanet, cancer, detection, pulmonary, nodule",2022.0,2,0.044365572315882874,inf,1.0,0.0
8,"scenarios, perspective, recognition, identification, conditions, even, dataset, ha, existing, deep, set, casiab, information, achieves, method, frame, percent, accuracy, different, gait",2022.0,2,0.044365572315882874,inf,1.0,0.0
9,"snrs, make, designed, data, local, recently, we, however, pmri, estimation, reconstruction, real, technique, performance, image, snr, scenarios, nonstationary, noise, method",2017.0,2,0.044365572315882874,inf,0.9999996,0.0
10,"another, cameras, understand, framework, our, low, dual, one, rate, system, lsrhfr, hsrlfr, hstr, spatial, combine, frame, resolution, high, camera, video",2021.0,2,0.044365572315882874,inf,0.9999997,0.0
11,"measurement, 50, mean, new, conventional, scheme, front, measurements, millimeter, tissue, deep, spatial, confocal, dot, timeresolved, reconstruction, one, resolution, time, imaging",2020.0-2021.0,4,0.08873114463176575,1.9999992847442627,0.99999964,0.5
12,"paper, this, parameter, learning, show, problem, in, set, proposed, using, object, likelihood, approach, image, data, algorithm, method, we, the, model",2010.0-2022.0,109,2.417923691215617,0.15406577164256346,0.54021066,3.5063639282942805
13,"data, using, this, approach, paper, show, object, feature, proposed, model, problem, in, detection, algorithm, graph, the, edge, we, method, image",2010.0-2022.0,226,5.013309671694765,0.10394983687515673,0.3628191,3.490328761385918
14,"face, camera, depth, using, result, algorithm, pose, show, feature, paper, proposed, approach, in, object, model, the, image, method, we, 3d",2010.0-2022.0,309,6.854480922803904,0.03768152929888688,0.1246609,3.3082760717191677
15,"unknown, problem, labels, internal, 13, lfw, benchmark, runtime, fmeasure, clusters, images, address, our, algorithm, number, million, cluster, quality, clustering, face",2018.0,2,0.044365572315882874,inf,1.0,0.0
